id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
65,32,JAWA BARAT,3274,KOTA CIREBON,LAYANAN DASAR,185,KEPALA KELUARGA,2019
66,32,JAWA BARAT,3274,KOTA CIREBON,BUANG AIR BESAR SEMBARANGAN,8015,KEPALA KELUARGA,2019
67,32,JAWA BARAT,3275,KOTA BEKASI,SANITASI LAYAK,568890,KEPALA KELUARGA,2019
68,32,JAWA BARAT,3275,KOTA BEKASI,LAYANAN DASAR,8972,KEPALA KELUARGA,2019
69,32,JAWA BARAT,3275,KOTA BEKASI,BUANG AIR BESAR SEMBARANGAN,7846,KEPALA KELUARGA,2019
70,32,JAWA BARAT,3276,KOTA DEPOK,SANITASI LAYAK,368397,KEPALA KELUARGA,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,LAYANAN DASAR,15847,KEPALA KELUARGA,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,BUANG AIR BESAR SEMBARANGAN,13814,KEPALA KELUARGA,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,SANITASI LAYAK,117923,KEPALA KELUARGA,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,LAYANAN DASAR,1095,KEPALA KELUARGA,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,BUANG AIR BESAR SEMBARANGAN,32189,KEPALA KELUARGA,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SANITASI LAYAK,97079,KEPALA KELUARGA,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAYANAN DASAR,8617,KEPALA KELUARGA,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUANG AIR BESAR SEMBARANGAN,77358,KEPALA KELUARGA,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,SANITASI LAYAK,50563,KEPALA KELUARGA,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,LAYANAN DASAR,2612,KEPALA KELUARGA,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,BUANG AIR BESAR SEMBARANGAN,1362,KEPALA KELUARGA,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,SANITASI LAYAK,1015474,KEPALA KELUARGA,2020
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAYANAN DASAR,488481,KEPALA KELUARGA,2020
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUANG AIR BESAR SEMBARANGAN,527924,KEPALA KELUARGA,2020
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SANITASI LAYAK,541061,KEPALA KELUARGA,2020
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAYANAN DASAR,53637,KEPALA KELUARGA,2020
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUANG AIR BESAR SEMBARANGAN,119337,KEPALA KELUARGA,2020
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SANITASI LAYAK,548121,KEPALA KELUARGA,2020
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAYANAN DASAR,35704,KEPALA KELUARGA,2020
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUANG AIR BESAR SEMBARANGAN,128524,KEPALA KELUARGA,2020
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SANITASI LAYAK,736343,KEPALA KELUARGA,2020
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAYANAN DASAR,84811,KEPALA KELUARGA,2020
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUANG AIR BESAR SEMBARANGAN,161565,KEPALA KELUARGA,2020
94,32,JAWA BARAT,3205,KABUPATEN GARUT,SANITASI LAYAK,384849,KEPALA KELUARGA,2020
95,32,JAWA BARAT,3205,KABUPATEN GARUT,LAYANAN DASAR,114216,KEPALA KELUARGA,2020
96,32,JAWA BARAT,3205,KABUPATEN GARUT,BUANG AIR BESAR SEMBARANGAN,193718,KEPALA KELUARGA,2020
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SANITASI LAYAK,436552,KEPALA KELUARGA,2020
