,Platform,Year,Genre,EU_Sales
266,GB,1992,Platform,0.61
267,SNES,1992,Fighting,0.51
268,GB,1992,Action,0.96
269,SNES,1992,Role-Playing,0.0
270,SNES,1992,Misc,0.54
271,GEN,1992,Fighting,0.63
272,SNES,1992,Role-Playing,0.0
273,GB,1992,Misc,0.17
274,PC,1992,Simulation,0.84
275,GEN,1992,Sports,0.25
276,GB,1992,Puzzle,0.24
277,GEN,1992,Fighting,0.3
278,GB,1992,Puzzle,0.22
279,SNES,1992,Platform,0.17
280,NES,1992,Puzzle,0.06
281,SNES,1992,Role-Playing,0.0
282,NES,1992,Platform,0.07
283,PC,1992,Adventure,0.77
284,SNES,1992,Role-Playing,0.0
285,SNES,1992,Puzzle,0.0
286,SNES,1992,Sports,0.0
287,SNES,1992,Fighting,0.0
288,SNES,1992,Strategy,0.0
289,SNES,1992,Sports,0.0
290,SNES,1992,Racing,0.0
291,GB,1992,Puzzle,0.0
292,SNES,1992,Platform,0.0
293,SNES,1992,Adventure,0.0
294,SNES,1992,Sports,0.0
295,SNES,1992,Shooter,0.0
296,GEN,1992,Shooter,0.0
297,GEN,1992,Adventure,0.0
298,NES,1992,Fighting,0.01
299,SNES,1992,Role-Playing,0.0
300,PC,1992,Strategy,0.05
301,SNES,1992,Fighting,0.0
302,GG,1992,Platform,0.0
303,PC,1992,Shooter,0.0
304,PC,1992,Strategy,0.0
305,SNES,1993,Platform,2.15
306,SNES,1993,Shooter,0.51
307,SNES,1993,Fighting,0.16
308,SNES,1993,Fighting,0.39
309,SNES,1993,Role-Playing,0.07
310,SNES,1993,Platform,0.34
311,NES,1993,Platform,0.14
312,SNES,1993,Puzzle,0.0
313,SCD,1993,Platform,0.36
314,SNES,1993,Fighting,0.0
315,SNES,1993,Fighting,0.0
316,SNES,1993,Role-Playing,0.0
317,SNES,1993,Platform,0.08
318,SNES,1993,Role-Playing,0.0
319,SNES,1993,Action,0.12
320,NES,1993,Puzzle,0.13
321,SNES,1993,Sports,0.0
322,SNES,1993,Role-Playing,0.0
323,SNES,1993,Fighting,0.0
324,SNES,1993,Sports,0.0
325,SNES,1993,Strategy,0.0
326,SNES,1993,Platform,0.02
327,SNES,1993,Sports,0.0
328,SNES,1993,Sports,0.0
329,NES,1993,Platform,0.07
330,SNES,1993,Puzzle,0.0
331,SNES,1993,Platform,0.0
332,SNES,1993,Fighting,0.0
333,SNES,1993,Fighting,0.0
334,NES,1993,Action,0.1
335,SNES,1993,Racing,0.0
336,SNES,1993,Role-Playing,0.0
337,SNES,1993,Platform,0.0
338,SNES,1993,Fighting,0.0
339,SNES,1993,Action,0.0
340,SNES,1993,Misc,0.0
341,GEN,1993,Strategy,0.0
342,SNES,1993,Simulation,0.0
343,SNES,1993,Sports,0.01
344,SNES,1993,Sports,0.0
345,GEN,1993,Fighting,0.0
346,NG,1993,Fighting,0.0
347,SNES,1993,Role-Playing,0.0
348,SNES,1993,Sports,0.0
349,SNES,1993,Sports,0.0
350,SNES,1993,Role-Playing,0.0
351,SNES,1993,Shooter,0.0
352,GEN,1993,Adventure,0.0
353,GEN,1993,Action,0.0
354,NG,1993,Fighting,0.0
355,SNES,1993,Action,0.0
356,GEN,1993,Action,0.0
357,SNES,1993,Misc,0.0
358,SNES,1993,Platform,0.0
359,SNES,1993,Role-Playing,0.0
360,GEN,1993,Platform,0.0
361,SNES,1993,Misc,0.0
362,SNES,1993,Sports,0.0
363,GEN,1993,Role-Playing,0.0
364,SNES,1993,Racing,0.0
365,SNES,1994,Platform,1.71
366,GB,1994,Platform,0.98
367,GB,1994,Platform,0.76
368,PC,1994,Shooter,1.4
369,SNES,1994,Role-Playing,0.0
370,GB,1994,Platform,0.62
371,PC,1994,Adventure,2.79
372,PC,1994,Misc,0.81
373,PC,1994,Strategy,1.08
374,PC,1994,Shooter,0.77
375,GEN,1994,Platform,0.43
376,SNES,1994,Platform,0.39
377,GEN,1994,Platform,0.47
378,SNES,1994,Fighting,0.29
379,SNES,1994,Action,0.12
380,GEN,1994,Platform,0.37
381,SNES,1994,Sports,0.16
382,GEN,1994,Fighting,0.27
383,PS,1994,Fighting,0.26
384,GEN,1994,Sports,0.14
385,SAT,1994,Fighting,0.12
386,SNES,1994,Simulation,0.0
387,SNES,1994,Sports,0.0
388,SNES,1994,Adventure,0.0
389,SNES,1994,Puzzle,0.0
390,SNES,1994,Role-Playing,0.0
391,PS,1994,Racing,0.0
392,PS,1994,Shooter,0.3
393,SNES,1994,Puzzle,0.0
394,SNES,1994,Role-Playing,0.0
395,SNES,1994,Sports,0.0
396,PS,1994,Simulation,0.16
397,SNES,1994,Fighting,0.0
398,SAT,1994,Racing,0.0
399,SNES,1994,Strategy,0.0
400,SNES,1994,Sports,0.0
401,SNES,1994,Shooter,0.0
402,PS,1994,Sports,0.17
403,SNES,1994,Simulation,0.0
404,SNES,1994,Sports,0.0
405,SNES,1994,Fighting,0.0
406,SNES,1994,Sports,0.0
407,PS,1994,Sports,0.08
408,PS,1994,Shooter,0.06
409,SNES,1994,Sports,0.0
410,SNES,1994,Strategy,0.0
411,SNES,1994,Role-Playing,0.0
412,SNES,1994,Sports,0.0
413,SNES,1994,Fighting,0.0
414,SNES,1994,Role-Playing,0.0
415,SNES,1994,Platform,0.0
416,SNES,1994,Sports,0.0
417,PS,1994,Shooter,0.0
418,SNES,1994,Role-Playing,0.0
419,SNES,1994,Fighting,0.0
420,SAT,1994,Sports,0.0
421,SNES,1994,Role-Playing,0.0
422,SNES,1994,Misc,0.0
423,SNES,1994,Sports,0.0
424,SAT,1994,Simulation,0.0
425,SNES,1994,Sports,0.0
426,SNES,1994,Simulation,0.0
427,GEN,1994,Racing,0.0
428,SAT,1994,Shooter,0.0
429,PS,1994,Strategy,0.0
430,NG,1994,Fighting,0.0
431,NG,1994,Fighting,0.0
432,SNES,1994,Racing,0.0
433,NG,1994,Fighting,0.0
434,SAT,1994,Shooter,0.0
435,PS,1994,Simulation,0.07
436,SNES,1994,Strategy,0.0
437,SNES,1994,Shooter,0.0
438,SAT,1994,Racing,0.0
439,SNES,1994,Fighting,0.0
440,GEN,1994,Role-Playing,0.0
441,SCD,1994,Strategy,0.0
442,NG,1994,Fighting,0.0
443,SNES,1994,Role-Playing,0.0
444,SAT,1994,Fighting,0.0
445,SNES,1994,Fighting,0.0
446,SAT,1994,Fighting,0.0
447,PS,1994,Fighting,0.04
448,PS,1994,Sports,0.0
449,NES,1994,Role-Playing,0.0
450,PS,1994,Shooter,0.04
451,PS,1994,Role-Playing,0.0
452,SAT,1994,Platform,0.0
453,SAT,1994,Simulation,0.0
454,PS,1994,Role-Playing,0.0
455,GEN,1994,Fighting,0.0
456,GEN,1994,Role-Playing,0.0
457,SNES,1994,Role-Playing,0.0
458,SAT,1994,Racing,0.0
459,SCD,1994,Racing,0.0
460,SNES,1994,Sports,0.0
461,SNES,1994,Action,0.0
462,PS,1994,Racing,0.0
463,PS,1994,Adventure,0.02
464,SAT,1994,Shooter,0.0
465,SAT,1994,Sports,0.0
466,SCD,1994,Role-Playing,0.0
467,SAT,1994,Adventure,0.0
468,SCD,1994,Misc,0.0
469,SNES,1994,Misc,0.0
470,SAT,1994,Fighting,0.0
471,SCD,1994,Misc,0.0
472,SAT,1994,Sports,0.0
473,SAT,1994,Fighting,0.0
474,GEN,1994,Sports,0.0
475,GEN,1994,Platform,0.0
476,SNES,1994,Role-Playing,0.0
477,SNES,1994,Role-Playing,0.0
478,GEN,1994,Misc,0.0
479,SNES,1994,Action,0.0
480,SNES,1994,Action,0.0
481,3DO,1994,Puzzle,0.0
482,SNES,1994,Fighting,0.0
483,SAT,1994,Sports,0.0
484,SNES,1994,Sports,0.0
485,PC,1994,Fighting,0.0
486,SNES,1995,Platform,0.74
487,PC,1995,Strategy,2.27
488,SNES,1995,Platform,0.61
489,PS,1995,Misc,1.44
490,PS,1995,Fighting,1.3
491,SNES,1995,Fighting,0.72
492,SNES,1995,Role-Playing,0.0
493,PS,1995,Platform,1.33
494,GB,1995,Platform,0.14
495,SNES,1995,Role-Playing,0.0
496,SAT,1995,Fighting,0.26
497,PS,1995,Simulation,0.33
498,PS,1995,Action,0.19
499,SNES,1995,Role-Playing,0.0
500,PS,1995,Racing,0.48
501,SAT,1995,Racing,0.16
502,SNES,1995,Sports,0.0
503,PS,1995,Role-Playing,0.0
504,PS,1995,Racing,0.12
505,SNES,1995,Sports,0.12
506,PS,1995,Racing,0.38
507,PS,1995,Racing,0.34
508,SNES,1995,Role-Playing,0.0
509,PS,1995,Platform,0.33
510,PS,1995,Sports,0.32
511,PS,1995,Fighting,0.11
512,SNES,1995,Role-Playing,0.0
513,PS,1995,Fighting,0.1
514,SAT,1995,Shooter,0.0
515,GB,1995,Puzzle,0.0
516,PS,1995,Role-Playing,0.14
517,SNES,1995,Strategy,0.0
518,PS,1995,Simulation,0.0
519,PS,1995,Role-Playing,0.08
520,PS,1995,Fighting,0.2
521,PS,1995,Sports,0.19
522,SNES,1995,Simulation,0.0
523,SNES,1995,Puzzle,0.0
524,PS,1995,Action,0.18
525,SNES,1995,Misc,0.0
526,PS,1995,Simulation,0.17
527,SNES,1995,Sports,0.0
528,PS,1995,Role-Playing,0.0
529,PS,1995,Action,0.0
530,SNES,1995,Sports,0.0
531,SAT,1995,Fighting,0.0
532,SAT,1995,Action,0.0
533,SNES,1995,Puzzle,0.0
534,SAT,1995,Fighting,0.0
535,SNES,1995,Role-Playing,0.0
536,SNES,1995,Role-Playing,0.0
537,SAT,1995,Role-Playing,0.0
538,SNES,1995,Strategy,0.0
539,SAT,1995,Shooter,0.0
540,PS,1995,Fighting,0.0
541,SNES,1995,Action,0.01
542,SAT,1995,Shooter,0.0
543,SAT,1995,Fighting,0.0
544,PS,1995,Fighting,0.0
545,GB,1995,Puzzle,0.0
546,PS,1995,Misc,0.12
547,SAT,1995,Fighting,0.0
548,PS,1995,Sports,0.12
549,SNES,1995,Platform,0.0
550,SAT,1995,Shooter,0.0
551,GB,1995,Misc,0.0
552,PS,1995,Platform,0.03
553,SAT,1995,Role-Playing,0.0
554,SNES,1995,Sports,0.0
555,SNES,1995,Role-Playing,0.0
556,SAT,1995,Role-Playing,0.0
557,SNES,1995,Fighting,0.0
558,SAT,1995,Fighting,0.0
559,SNES,1995,Platform,0.01
560,PS,1995,Sports,0.11
