,Platform,Year,Genre,Global_Sales
310,SNES,1993,Platform,1.75
311,NES,1993,Platform,1.75
312,SNES,1993,Puzzle,1.7
313,SCD,1993,Platform,1.5
314,SNES,1993,Fighting,1.45
315,SNES,1993,Fighting,1.2
316,SNES,1993,Role-Playing,1.17
317,SNES,1993,Platform,1.16
318,SNES,1993,Role-Playing,1.15
319,SNES,1993,Action,1.02
320,NES,1993,Puzzle,0.98
321,SNES,1993,Sports,0.8
322,SNES,1993,Role-Playing,0.78
323,SNES,1993,Fighting,0.73
324,SNES,1993,Sports,0.69
325,SNES,1993,Strategy,0.62
326,SNES,1993,Platform,0.56
327,SNES,1993,Sports,0.53
328,SNES,1993,Sports,0.53
329,NES,1993,Platform,0.52
330,SNES,1993,Puzzle,0.49
331,SNES,1993,Platform,0.46
332,SNES,1993,Fighting,0.45
333,SNES,1993,Fighting,0.36
334,NES,1993,Action,0.36
335,SNES,1993,Racing,0.35
336,SNES,1993,Role-Playing,0.32
337,SNES,1993,Platform,0.31
338,SNES,1993,Fighting,0.27
339,SNES,1993,Action,0.22
340,SNES,1993,Misc,0.19
341,GEN,1993,Strategy,0.19
342,SNES,1993,Simulation,0.19
343,SNES,1993,Sports,0.18
344,SNES,1993,Sports,0.17
345,GEN,1993,Fighting,0.15
346,NG,1993,Fighting,0.14
347,SNES,1993,Role-Playing,0.13
348,SNES,1993,Sports,0.12
349,SNES,1993,Sports,0.11
350,SNES,1993,Role-Playing,0.11
351,SNES,1993,Shooter,0.09
352,GEN,1993,Adventure,0.07
353,GEN,1993,Action,0.07
354,NG,1993,Fighting,0.07
355,SNES,1993,Action,0.07
356,GEN,1993,Action,0.07
357,SNES,1993,Misc,0.06
358,SNES,1993,Platform,0.06
359,SNES,1993,Role-Playing,0.05
360,GEN,1993,Platform,0.05
361,SNES,1993,Misc,0.05
362,SNES,1993,Sports,0.05
363,GEN,1993,Role-Playing,0.05
364,SNES,1993,Racing,0.01
365,SNES,1994,Platform,9.3
366,GB,1994,Platform,5.19
367,GB,1994,Platform,3.91
368,PC,1994,Shooter,3.61
369,SNES,1994,Role-Playing,3.42
370,GB,1994,Platform,3.07
371,PC,1994,Adventure,2.81
372,PC,1994,Misc,2.39
373,PC,1994,Strategy,2.08
374,PC,1994,Shooter,1.95
375,GEN,1994,Platform,1.82
376,SNES,1994,Platform,1.79
377,GEN,1994,Platform,1.76
378,SNES,1994,Fighting,1.53
379,SNES,1994,Action,1.42
380,GEN,1994,Platform,1.41
381,SNES,1994,Sports,1.39
382,GEN,1994,Fighting,1.34
383,PS,1994,Fighting,1.27
384,GEN,1994,Sports,1.11
385,SAT,1994,Fighting,1.07
386,SNES,1994,Simulation,0.91
387,SNES,1994,Sports,0.87
388,SNES,1994,Adventure,0.81
389,SNES,1994,Puzzle,0.81
390,SNES,1994,Role-Playing,0.81
391,PS,1994,Racing,0.79
392,PS,1994,Shooter,0.78
393,SNES,1994,Puzzle,0.7
394,SNES,1994,Role-Playing,0.7
395,SNES,1994,Sports,0.59
396,PS,1994,Simulation,0.57
397,SNES,1994,Fighting,0.56
398,SAT,1994,Racing,0.55
399,SNES,1994,Strategy,0.53
400,SNES,1994,Sports,0.53
401,SNES,1994,Shooter,0.46
402,PS,1994,Sports,0.45
403,SNES,1994,Simulation,0.43
404,SNES,1994,Sports,0.41
405,SNES,1994,Fighting,0.4
406,SNES,1994,Sports,0.39
407,PS,1994,Sports,0.38
408,PS,1994,Shooter,0.37
409,SNES,1994,Sports,0.37
410,SNES,1994,Strategy,0.37
411,SNES,1994,Role-Playing,0.37
412,SNES,1994,Sports,0.36
413,SNES,1994,Fighting,0.36
414,SNES,1994,Role-Playing,0.36
415,SNES,1994,Platform,0.36
416,SNES,1994,Sports,0.33
417,PS,1994,Shooter,0.33
418,SNES,1994,Role-Playing,0.32
419,SNES,1994,Fighting,0.31
420,SAT,1994,Sports,0.3
421,SNES,1994,Role-Playing,0.3
422,SNES,1994,Misc,0.29
423,SNES,1994,Sports,0.28
424,SAT,1994,Simulation,0.28
425,SNES,1994,Sports,0.27
426,SNES,1994,Simulation,0.27
427,GEN,1994,Racing,0.26
428,SAT,1994,Shooter,0.25
429,PS,1994,Strategy,0.25
430,NG,1994,Fighting,0.25
431,NG,1994,Fighting,0.23
432,SNES,1994,Racing,0.2
433,NG,1994,Fighting,0.2
434,SAT,1994,Shooter,0.2
435,PS,1994,Simulation,0.19
436,SNES,1994,Strategy,0.19
437,SNES,1994,Shooter,0.18
438,SAT,1994,Racing,0.18
439,SNES,1994,Fighting,0.16
440,GEN,1994,Role-Playing,0.14
441,SCD,1994,Strategy,0.14
442,NG,1994,Fighting,0.12
443,SNES,1994,Role-Playing,0.12
444,SAT,1994,Fighting,0.12
445,SNES,1994,Fighting,0.12
446,SAT,1994,Fighting,0.12
447,PS,1994,Fighting,0.11
448,PS,1994,Sports,0.11
449,NES,1994,Role-Playing,0.11
450,PS,1994,Shooter,0.11
451,PS,1994,Role-Playing,0.1
452,SAT,1994,Platform,0.09
453,SAT,1994,Simulation,0.08
454,PS,1994,Role-Playing,0.08
455,GEN,1994,Fighting,0.08
456,GEN,1994,Role-Playing,0.08
457,SNES,1994,Role-Playing,0.08
458,SAT,1994,Racing,0.07
459,SCD,1994,Racing,0.07
460,SNES,1994,Sports,0.07
461,SNES,1994,Action,0.07
462,PS,1994,Racing,0.07
463,PS,1994,Adventure,0.06
464,SAT,1994,Shooter,0.06
465,SAT,1994,Sports,0.06
466,SCD,1994,Role-Playing,0.06
467,SAT,1994,Adventure,0.06
468,SCD,1994,Misc,0.05
469,SNES,1994,Misc,0.05
470,SAT,1994,Fighting,0.05
471,SCD,1994,Misc,0.05
472,SAT,1994,Sports,0.04
473,SAT,1994,Fighting,0.04
474,GEN,1994,Sports,0.04
475,GEN,1994,Platform,0.04
476,SNES,1994,Role-Playing,0.03
477,SNES,1994,Role-Playing,0.03
478,GEN,1994,Misc,0.03
479,SNES,1994,Action,0.03
480,SNES,1994,Action,0.03
481,3DO,1994,Puzzle,0.02
482,SNES,1994,Fighting,0.02
483,SAT,1994,Sports,0.02
484,SNES,1994,Sports,0.02
485,PC,1994,Fighting,0.01
486,SNES,1995,Platform,5.15
487,PC,1995,Strategy,4.21
488,SNES,1995,Platform,4.12
489,PS,1995,Misc,3.84
490,PS,1995,Fighting,3.24
491,SNES,1995,Fighting,3.2
492,SNES,1995,Role-Playing,3.19
493,PS,1995,Platform,3.03
494,GB,1995,Platform,2.36
495,SNES,1995,Role-Playing,2.31
496,SAT,1995,Fighting,1.93
497,PS,1995,Simulation,1.83
498,PS,1995,Action,1.56
499,SNES,1995,Role-Playing,1.3
500,PS,1995,Racing,1.27
501,SAT,1995,Racing,1.16
502,SNES,1995,Sports,1.15
503,PS,1995,Role-Playing,1.11
504,PS,1995,Racing,1.07
505,SNES,1995,Sports,1.01
506,PS,1995,Racing,1.0
507,PS,1995,Racing,0.9
508,SNES,1995,Role-Playing,0.89
509,PS,1995,Platform,0.87
510,PS,1995,Sports,0.85
511,PS,1995,Fighting,0.76
512,SNES,1995,Role-Playing,0.71
513,PS,1995,Fighting,0.71
514,SAT,1995,Shooter,0.62
515,GB,1995,Puzzle,0.62
516,PS,1995,Role-Playing,0.6
517,SNES,1995,Strategy,0.6
518,PS,1995,Simulation,0.58
519,PS,1995,Role-Playing,0.57
520,PS,1995,Fighting,0.55
521,PS,1995,Sports,0.5
