,Platform,Year,Genre,JP_Sales
258,SNES,1991,Misc,0.08
259,SNES,1991,Sports,0.07
260,GB,1991,Action,0.06
261,SNES,1991,Role-Playing,0.05
262,GB,1992,Adventure,2.69
263,SNES,1992,Racing,3.81
264,SNES,1992,Fighting,2.87
265,GEN,1992,Platform,0.16
266,GB,1992,Platform,1.7
267,SNES,1992,Fighting,2.1
268,GB,1992,Action,0.54
269,SNES,1992,Role-Playing,2.78
270,SNES,1992,Misc,0.71
271,GEN,1992,Fighting,0.0
272,SNES,1992,Role-Playing,2.43
273,GB,1992,Misc,1.1
274,PC,1992,Simulation,0.0
275,GEN,1992,Sports,0.0
276,GB,1992,Puzzle,0.82
277,GEN,1992,Fighting,0.31
278,GB,1992,Puzzle,0.43
279,SNES,1992,Platform,0.35
280,NES,1992,Puzzle,0.63
281,SNES,1992,Role-Playing,0.97
282,NES,1992,Platform,0.32
283,PC,1992,Adventure,0.0
284,SNES,1992,Role-Playing,0.58
285,SNES,1992,Puzzle,0.57
286,SNES,1992,Sports,0.46
287,SNES,1992,Fighting,0.39
288,SNES,1992,Strategy,0.29
289,SNES,1992,Sports,0.28
290,SNES,1992,Racing,0.28
291,GB,1992,Puzzle,0.23
292,SNES,1992,Platform,0.22
293,SNES,1992,Adventure,0.16
294,SNES,1992,Sports,0.16
295,SNES,1992,Shooter,0.13
296,GEN,1992,Shooter,0.13
297,GEN,1992,Adventure,0.12
298,NES,1992,Fighting,0.02
299,SNES,1992,Role-Playing,0.07
300,PC,1992,Strategy,0.0
301,SNES,1992,Fighting,0.06
302,GG,1992,Platform,0.04
303,PC,1992,Shooter,0.0
304,PC,1992,Strategy,0.0
305,SNES,1993,Platform,2.12
306,SNES,1993,Shooter,0.8
307,SNES,1993,Fighting,1.29
308,SNES,1993,Fighting,0.0
309,SNES,1993,Role-Playing,1.49
310,SNES,1993,Platform,0.21
311,NES,1993,Platform,0.8
312,SNES,1993,Puzzle,1.69
313,SCD,1993,Platform,0.09
314,SNES,1993,Fighting,1.45
315,SNES,1993,Fighting,1.2
316,SNES,1993,Role-Playing,1.17
317,SNES,1993,Platform,0.5
318,SNES,1993,Role-Playing,1.15
319,SNES,1993,Action,0.49
320,NES,1993,Puzzle,0.21
321,SNES,1993,Sports,0.8
322,SNES,1993,Role-Playing,0.78
323,SNES,1993,Fighting,0.73
324,SNES,1993,Sports,0.69
325,SNES,1993,Strategy,0.32
326,SNES,1993,Platform,0.45
327,SNES,1993,Sports,0.53
328,SNES,1993,Sports,0.53
329,NES,1993,Platform,0.16
330,SNES,1993,Puzzle,0.49
331,SNES,1993,Platform,0.46
332,SNES,1993,Fighting,0.45
333,SNES,1993,Fighting,0.36
334,NES,1993,Action,0.0
335,SNES,1993,Racing,0.35
336,SNES,1993,Role-Playing,0.32
337,SNES,1993,Platform,0.31
338,SNES,1993,Fighting,0.27
339,SNES,1993,Action,0.22
340,SNES,1993,Misc,0.19
341,GEN,1993,Strategy,0.19
342,SNES,1993,Simulation,0.19
343,SNES,1993,Sports,0.13
344,SNES,1993,Sports,0.17
345,GEN,1993,Fighting,0.15
346,NG,1993,Fighting,0.14
347,SNES,1993,Role-Playing,0.13
348,SNES,1993,Sports,0.12
349,SNES,1993,Sports,0.11
350,SNES,1993,Role-Playing,0.11
351,SNES,1993,Shooter,0.09
352,GEN,1993,Adventure,0.07
353,GEN,1993,Action,0.07
354,NG,1993,Fighting,0.07
355,SNES,1993,Action,0.07
356,GEN,1993,Action,0.07
357,SNES,1993,Misc,0.06
358,SNES,1993,Platform,0.06
359,SNES,1993,Role-Playing,0.05
360,GEN,1993,Platform,0.05
361,SNES,1993,Misc,0.05
362,SNES,1993,Sports,0.05
363,GEN,1993,Role-Playing,0.05
364,SNES,1993,Racing,0.01
365,SNES,1994,Platform,3.0
366,GB,1994,Platform,1.57
367,GB,1994,Platform,1.07
368,PC,1994,Shooter,0.0
369,SNES,1994,Role-Playing,2.55
370,GB,1994,Platform,0.55
371,PC,1994,Adventure,0.0
372,PC,1994,Misc,0.0
373,PC,1994,Strategy,0.0
374,PC,1994,Shooter,0.0
375,GEN,1994,Platform,0.03
376,SNES,1994,Platform,0.08
377,GEN,1994,Platform,0.2
378,SNES,1994,Fighting,0.0
379,SNES,1994,Action,0.71
380,GEN,1994,Platform,0.03
381,SNES,1994,Sports,0.0
382,GEN,1994,Fighting,0.0
383,PS,1994,Fighting,0.53
384,GEN,1994,Sports,0.0
385,SAT,1994,Fighting,0.77
386,SNES,1994,Simulation,0.91
387,SNES,1994,Sports,0.87
388,SNES,1994,Adventure,0.81
389,SNES,1994,Puzzle,0.81
390,SNES,1994,Role-Playing,0.81
391,PS,1994,Racing,0.74
392,PS,1994,Shooter,0.0
393,SNES,1994,Puzzle,0.7
394,SNES,1994,Role-Playing,0.7
395,SNES,1994,Sports,0.59
396,PS,1994,Simulation,0.13
397,SNES,1994,Fighting,0.56
398,SAT,1994,Racing,0.55
399,SNES,1994,Strategy,0.53
400,SNES,1994,Sports,0.53
401,SNES,1994,Shooter,0.46
402,PS,1994,Sports,0.0
403,SNES,1994,Simulation,0.43
404,SNES,1994,Sports,0.41
405,SNES,1994,Fighting,0.4
406,SNES,1994,Sports,0.39
407,PS,1994,Sports,0.17
408,PS,1994,Shooter,0.21
409,SNES,1994,Sports,0.37
410,SNES,1994,Strategy,0.37
411,SNES,1994,Role-Playing,0.37
412,SNES,1994,Sports,0.36
413,SNES,1994,Fighting,0.36
414,SNES,1994,Role-Playing,0.36
415,SNES,1994,Platform,0.36
416,SNES,1994,Sports,0.33
417,PS,1994,Shooter,0.31
418,SNES,1994,Role-Playing,0.32
